,single_q,double_q,dashes,braces,spaces,badwords_count,class,Cluster
395,0,0,0,0,0,0,bad,Cluster 0
396,0,0,0,0,0,1,bad,Cluster 0
397,0,0,0,0,0,0,bad,Cluster 0
398,0,0,0,0,3,0,bad,Cluster 0
399,0,0,0,0,0,0,bad,Cluster 0
400,0,0,0,0,0,1,bad,Cluster 0
401,0,0,0,0,0,0,bad,Cluster 0
402,0,0,0,0,0,1,bad,Cluster 0
403,0,0,0,0,0,0,bad,Cluster 0
404,0,0,0,0,0,1,bad,Cluster 0
405,0,0,0,0,3,0,bad,Cluster 0
406,0,0,0,0,0,0,bad,Cluster 0
407,0,0,0,0,0,0,bad,Cluster 0
408,0,0,0,0,0,0,bad,Cluster 0
409,0,0,0,0,0,0,bad,Cluster 0
410,0,0,0,0,0,1,bad,Cluster 0
411,0,0,0,0,3,0,bad,Cluster 0
412,0,0,0,0,0,0,bad,Cluster 0
413,0,0,0,0,0,0,bad,Cluster 0
414,0,0,0,0,0,0,bad,Cluster 0
415,0,0,0,0,0,0,bad,Cluster 0
416,0,0,0,0,0,1,bad,Cluster 0
417,0,0,0,0,0,0,bad,Cluster 0
418,0,0,0,0,3,0,bad,Cluster 0
419,0,0,0,0,0,0,bad,Cluster 0
420,0,0,0,0,0,0,bad,Cluster 0
421,0,0,0,0,0,0,bad,Cluster 0
422,0,0,0,0,0,0,bad,Cluster 0
423,0,0,0,0,0,0,bad,Cluster 0
424,0,0,0,0,0,1,bad,Cluster 0
425,0,0,0,0,0,0,bad,Cluster 0
426,0,0,0,0,0,0,bad,Cluster 0
427,0,0,0,0,0,0,bad,Cluster 0
428,0,0,0,0,0,0,bad,Cluster 0
429,0,0,0,0,0,0,bad,Cluster 0
430,0,0,0,0,0,2,bad,Cluster 0
431,0,0,0,0,0,0,bad,Cluster 0
432,0,0,0,0,0,0,bad,Cluster 0
433,0,0,0,0,0,2,bad,Cluster 0
434,0,0,0,0,0,0,bad,Cluster 0
435,0,0,0,0,0,0,bad,Cluster 0
436,0,0,0,0,0,2,bad,Cluster 0
437,0,0,0,0,0,0,bad,Cluster 0
438,0,0,0,0,0,0,bad,Cluster 0
439,0,0,0,0,0,2,bad,Cluster 0
440,0,0,0,0,0,1,bad,Cluster 0
441,0,0,0,0,7,1,bad,Cluster 0
442,0,0,0,0,0,1,bad,Cluster 0
443,0,0,0,0,7,1,bad,Cluster 0
444,0,0,0,0,7,1,bad,Cluster 0
445,0,0,0,0,0,1,bad,Cluster 0
446,0,0,0,0,7,1,bad,Cluster 0
447,0,0,0,0,7,0,bad,Cluster 0
448,0,0,0,0,0,1,bad,Cluster 0
449,0,0,0,0,7,0,bad,Cluster 0
450,0,0,0,0,7,0,bad,Cluster 0
451,0,0,0,0,0,1,bad,Cluster 0
452,0,0,0,0,7,0,bad,Cluster 0
453,0,0,0,0,7,0,bad,Cluster 0
454,0,0,0,0,0,1,bad,Cluster 0
455,0,0,0,0,7,0,bad,Cluster 0
456,0,0,0,0,0,1,bad,Cluster 0
457,0,0,0,0,7,0,bad,Cluster 0
458,0,0,0,0,0,1,bad,Cluster 0
459,0,0,0,0,7,0,bad,Cluster 0
460,0,0,0,0,0,1,bad,Cluster 0
461,0,0,0,0,7,0,bad,Cluster 0
462,0,0,0,0,0,1,bad,Cluster 0
463,0,0,0,0,7,0,bad,Cluster 0
464,0,0,0,0,0,1,bad,Cluster 0
465,0,0,0,0,7,0,bad,Cluster 0
466,0,0,0,0,0,1,bad,Cluster 0
467,0,0,0,0,7,1,bad,Cluster 0
468,0,0,0,0,0,1,bad,Cluster 0
469,0,0,0,0,7,1,bad,Cluster 0
470,0,0,0,0,0,1,bad,Cluster 0
471,0,0,0,0,7,1,bad,Cluster 0
472,0,0,0,0,0,0,bad,Cluster 0
473,0,0,0,0,7,1,bad,Cluster 0
474,0,0,0,0,0,1,bad,Cluster 0
475,0,0,0,0,7,0,bad,Cluster 0
476,0,0,0,0,0,0,bad,Cluster 0
477,0,0,0,0,7,0,bad,Cluster 0
478,0,0,0,0,7,0,bad,Cluster 0
479,0,0,0,0,0,2,bad,Cluster 0
480,0,0,0,0,0,0,bad,Cluster 0
481,0,0,0,0,7,0,bad,Cluster 0
482,0,0,0,0,7,0,bad,Cluster 0
483,0,0,0,0,0,2,bad,Cluster 0
484,0,0,0,0,0,0,bad,Cluster 0
485,0,0,0,0,7,0,bad,Cluster 0
486,0,0,0,0,7,0,bad,Cluster 0
487,0,0,0,0,0,2,bad,Cluster 0
488,0,0,0,0,0,0,bad,Cluster 0
489,0,0,0,0,7,0,bad,Cluster 0
490,0,0,0,0,7,0,bad,Cluster 0
491,0,0,0,0,0,2,bad,Cluster 0
492,0,0,0,0,7,0,bad,Cluster 0
493,0,0,0,0,0,0,bad,Cluster 0
494,0,0,0,0,7,0,bad,Cluster 0
495,0,0,0,0,0,1,bad,Cluster 0
496,0,0,0,0,2,1,bad,Cluster 0
497,0,0,0,0,0,0,bad,Cluster 0
498,0,0,0,0,2,1,bad,Cluster 0
499,0,0,0,0,0,1,bad,Cluster 0
500,0,0,0,0,2,1,bad,Cluster 0
501,0,0,0,0,0,0,bad,Cluster 0
502,0,0,0,0,2,1,bad,Cluster 0
503,0,0,0,0,0,1,bad,Cluster 0
504,0,0,0,0,2,0,bad,Cluster 0
505,0,0,0,0,0,0,bad,Cluster 0
506,0,0,0,0,2,0,bad,Cluster 0
507,0,0,0,0,2,0,bad,Cluster 0
508,0,0,0,0,0,1,bad,Cluster 0
509,0,0,0,0,0,0,bad,Cluster 0
510,0,0,0,0,2,0,bad,Cluster 0
511,0,0,0,0,2,0,bad,Cluster 0
512,0,0,0,0,0,1,bad,Cluster 0
513,0,0,0,0,0,0,bad,Cluster 0
514,0,0,0,0,2,0,bad,Cluster 0
515,0,0,0,0,2,0,bad,Cluster 0
516,0,0,0,0,0,1,bad,Cluster 0
517,0,0,0,0,2,0,bad,Cluster 0
518,0,0,0,0,0,1,bad,Cluster 0
519,0,0,0,0,2,0,bad,Cluster 0
520,0,0,0,0,2,0,bad,Cluster 0
521,0,0,0,0,0,1,bad,Cluster 0
522,0,0,0,0,2,0,bad,Cluster 0
523,0,0,0,0,7,1,bad,Cluster 0
524,0,0,0,0,0,1,bad,Cluster 0
525,0,0,0,0,7,1,bad,Cluster 0
526,0,0,0,0,7,1,bad,Cluster 0
527,0,0,0,0,0,1,bad,Cluster 0
528,0,0,0,0,7,1,bad,Cluster 0
529,0,0,0,0,7,0,bad,Cluster 0
530,0,0,0,0,0,1,bad,Cluster 0
531,0,0,0,0,7,0,bad,Cluster 0
532,0,0,0,0,7,0,bad,Cluster 0
533,0,0,0,0,7,0,bad,Cluster 0
534,0,0,0,0,7,0,bad,Cluster 0
535,0,0,0,0,7,0,bad,Cluster 0
536,0,0,0,0,7,0,bad,Cluster 0
537,0,0,0,0,7,0,bad,Cluster 0
538,0,0,0,0,7,0,bad,Cluster 0
539,0,0,0,0,7,0,bad,Cluster 0
540,0,0,0,0,7,0,bad,Cluster 0
541,0,0,0,0,5,1,bad,Cluster 0
542,0,0,0,0,5,1,bad,Cluster 0
543,0,0,0,0,5,1,bad,Cluster 0
544,0,0,0,0,5,1,bad,Cluster 0
545,0,0,0,0,5,0,bad,Cluster 0
546,0,0,0,0,5,0,bad,Cluster 0
547,0,0,0,0,5,0,bad,Cluster 0
548,0,0,0,0,5,0,bad,Cluster 0
549,0,0,0,0,5,0,bad,Cluster 0
550,0,0,0,0,5,0,bad,Cluster 0
551,0,0,0,0,5,0,bad,Cluster 0
552,0,0,0,0,5,0,bad,Cluster 0
553,0,0,0,0,5,0,bad,Cluster 0
554,0,0,0,0,5,0,bad,Cluster 0
555,0,0,0,0,5,0,bad,Cluster 0
556,0,0,0,0,7,0,bad,Cluster 0
557,0,0,0,0,0,0,bad,Cluster 0
558,0,0,0,0,0,1,bad,Cluster 0
559,0,0,0,0,7,0,bad,Cluster 0
560,0,0,0,0,0,1,bad,Cluster 0
561,0,0,0,0,0,0,bad,Cluster 0
562,0,0,0,0,7,0,bad,Cluster 0
563,0,0,0,0,0,1,bad,Cluster 0
564,0,0,0,0,0,0,bad,Cluster 0
565,0,0,0,0,0,0,bad,Cluster 0
566,0,0,0,0,0,0,bad,Cluster 0
567,0,0,0,0,7,0,bad,Cluster 0
568,0,0,0,0,0,1,bad,Cluster 0
569,0,0,0,0,0,0,bad,Cluster 0
570,0,0,0,0,0,0,bad,Cluster 0
571,0,0,0,0,0,0,bad,Cluster 0
572,0,0,0,0,0,0,bad,Cluster 0
573,0,0,0,0,0,0,bad,Cluster 0
574,0,0,0,0,7,0,bad,Cluster 0
575,0,0,0,0,0,1,bad,Cluster 0
